               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.059293,            0.053693,            0.047642,             0.16199,              0.5479,             0.24075,            0.096947,            0.042589,            0.052764,            0.042678,           0.0033921,           0.0033921,            0.058692
                 112,            0.065638,            0.052109,            0.050012,              0.3639,             0.55174,             0.32349,             0.16519,            0.036542,            0.046355,            0.042536,           0.0034051,           0.0034051,            0.058305
                 113,            0.064354,            0.051949,            0.057852,             0.29591,             0.66153,             0.33361,             0.17948,            0.034357,            0.045244,            0.042407,           0.0034177,           0.0034177,            0.057918
                 114,             0.07528,            0.047928,            0.058682,             0.26578,             0.70611,             0.26496,              0.1268,            0.041911,            0.049581,            0.042472,           0.0034299,           0.0034299,             0.05753
                 115,            0.069023,            0.050038,            0.054771,             0.32184,             0.55671,             0.29269,             0.14424,            0.039029,            0.047293,            0.042394,           0.0034417,           0.0034417,            0.057142
                 116,            0.057052,            0.049919,            0.051071,             0.29829,              0.6543,             0.31296,             0.16797,            0.036457,             0.04718,            0.042313,           0.0034531,           0.0034531,            0.056753
                 117,            0.062501,            0.049226,            0.051589,             0.38221,             0.55924,             0.33264,              0.1961,            0.032736,            0.045762,            0.042182,           0.0034642,           0.0034642,            0.056364
                 118,            0.063988,            0.053541,            0.056807,             0.41406,             0.43475,             0.31607,             0.17737,             0.03521,            0.047992,             0.04208,           0.0034748,           0.0034748,            0.055975
                 119,            0.057672,            0.050387,              0.0503,             0.38385,             0.47442,              0.2766,             0.10451,            0.039836,            0.049755,            0.041919,           0.0034851,           0.0034851,            0.055585
                 120,            0.073082,            0.049388,            0.054931,             0.47552,             0.39387,             0.24761,            0.080336,            0.042302,             0.04968,            0.041683,            0.003495,            0.003495,            0.055195
                 121,            0.060232,            0.053873,            0.051339,             0.48372,             0.42418,             0.30287,             0.10242,            0.042197,            0.050418,             0.04158,           0.0035045,           0.0035045,            0.054805
                 122,            0.063042,            0.055601,            0.050868,             0.47188,             0.41866,             0.26025,             0.15171,            0.040298,            0.047163,            0.041421,           0.0035137,           0.0035137,            0.054414
                 123,             0.05197,            0.055971,               0.046,             0.41941,             0.43332,             0.30992,             0.12446,            0.040373,            0.050398,            0.041204,           0.0035224,           0.0035224,            0.054022
                 124,            0.061118,            0.052137,            0.049397,             0.34479,             0.45911,              0.3154,             0.16026,            0.033541,            0.045502,             0.04094,           0.0035308,           0.0035308,            0.053631
                 125,            0.058005,            0.053786,            0.053439,              0.5258,             0.31913,             0.30233,             0.13944,            0.040962,            0.054791,            0.040746,           0.0035387,           0.0035387,            0.053239
                 126,            0.070689,            0.065844,             0.05459,             0.22219,             0.35059,             0.16962,            0.046338,            0.049837,            0.052593,            0.040752,           0.0035463,           0.0035463,            0.052846
                 127,             0.07376,            0.063689,            0.054628,             0.23621,             0.34179,             0.20295,            0.088667,            0.043789,            0.054638,            0.040831,           0.0035536,           0.0035536,            0.052454
                 128,            0.057957,            0.059445,            0.046087,              0.5099,             0.37429,             0.30556,             0.17036,            0.042051,            0.049059,            0.040733,           0.0035604,           0.0035604,             0.05206
                 129,            0.086739,            0.054287,            0.062235,             0.49343,              0.3683,             0.27054,              0.1569,            0.050581,            0.050113,            0.040445,           0.0035669,           0.0035669,            0.051667
                 130,            0.074261,            0.048583,            0.050475,             0.37536,             0.52219,             0.35575,             0.17223,            0.044618,            0.047118,             0.04042,            0.003573,            0.003573,            0.051273
                 131,            0.064022,            0.045982,            0.050593,             0.34474,             0.71813,             0.40562,             0.25827,            0.041693,             0.04728,            0.040213,           0.0035787,           0.0035787,            0.050879
                 132,            0.063359,            0.050142,            0.047362,             0.50789,             0.37981,             0.30895,             0.12381,              0.0509,            0.056265,            0.040154,            0.003584,            0.003584,            0.050484
                 133,            0.071173,            0.052752,            0.050029,             0.45184,             0.37578,             0.34951,             0.19706,             0.04769,             0.05052,            0.040117,            0.003589,            0.003589,            0.050089
                 134,            0.047853,            0.048716,            0.040905,             0.59286,             0.48405,             0.44647,              0.2341,            0.038881,            0.047222,            0.040152,           0.0035936,           0.0035936,            0.049694
                 135,            0.079215,             0.05044,            0.052957,             0.51651,             0.48248,             0.33826,             0.16483,            0.043324,            0.049625,            0.039846,           0.0035978,           0.0035978,            0.049298
                 136,            0.063466,            0.048155,            0.049538,               0.315,             0.64006,             0.36996,             0.18645,            0.036007,            0.047941,            0.039901,           0.0036016,           0.0036016,            0.048902
                 137,            0.042103,            0.051297,            0.041054,             0.32657,             0.60292,             0.40693,             0.22941,            0.036179,            0.047065,            0.039705,           0.0036051,           0.0036051,            0.048505
                 138,             0.07478,            0.053866,            0.054957,             0.23941,              0.4831,             0.18505,            0.058967,            0.054873,            0.053902,            0.039632,           0.0036082,           0.0036082,            0.048108
                 139,            0.066424,            0.055265,            0.045153,             0.32531,             0.47056,             0.24027,             0.11463,             0.05009,            0.047913,            0.039521,            0.003611,            0.003611,            0.047711
                 140,            0.073681,            0.056254,            0.052175,             0.30151,               0.684,             0.40974,             0.24234,            0.038729,            0.045995,            0.039407,           0.0036134,           0.0036134,            0.047313
                 141,             0.06287,            0.050683,            0.048914,             0.52941,             0.49505,             0.37253,             0.13957,            0.044452,            0.053425,            0.039577,           0.0036154,           0.0036154,            0.046915
                 142,            0.048238,            0.048308,            0.044275,             0.46735,             0.56398,             0.47334,             0.26695,            0.033597,            0.046778,            0.039445,           0.0036171,           0.0036171,            0.046517
                 143,            0.061968,             0.04764,            0.052938,             0.41484,              0.5891,             0.42996,             0.20674,            0.037437,            0.049056,            0.039253,           0.0036184,           0.0036184,            0.046118
                 144,            0.054007,            0.055376,            0.044143,             0.55066,             0.51074,              0.4796,             0.27707,            0.039398,            0.045546,            0.038941,           0.0036194,           0.0036194,            0.045719
